unitid,nav_avg_net_price,matched
100654,17152,1
100663,17997,1
100706,19396,1
100724,13138,1
100751,22559,1
100830,13945,1
100858,25242,1
101189,19920,1
101435,23055,1
101480,14221,1
101693,22382,1
101709,17890,1
101879,11745,1
102049,34926,1
102368,12842,1
102377,24344,0
102553,16039,1
104151,17779,1
104179,19055,1
105330,16371,1
105899,32514,1
106397,18408,1
106412,12373,1
106458,12410,1
106467,12626,1
106704,16546,1
106713,17469,1
107080,24699,1
107141,21537,1
107512,24532,1
107558,20088,1
107983,13442,1
109785,26143,0
110097,34082,1
110361,27862,1
110404,14513,0
110413,32774,1
110422,17453,1
110486,6489,1
110495,7433,1
110510,5231,1
110529,11940,1
110538,14630,1
110556,7834,1
110565,7064,1
110583,10607,1
110592,4460,1
110635,16538,1
110662,14512,1
110671,14562,1
110680,14047,1
110705,17658,1
110714,18059,1
111948,47902,1
112075,29845,1
112260,33895,1
113698,37456,1
115409,43966,1
115755,14090,1
117140,21530,0
117627,23848,1
117946,59926,1
119173,27368,1
120254,48400,1
120537,29896,0
120883,31670,1
121150,66585,1
121257,34979,1
121309,39696,1
121345,19938,1
122409,14704,1
122436,37918,1
122612,45443,1
122728,29679,1
122755,13892,1
122931,53883,1
123165,44396,1
123554,35332,1
123651,23286,1
123961,43412,1
124292,24820,1
125727,32172,1
125763,28101,1
125897,37258,1
126562,14831,1
126614,26231,1
126678,36123,1
126775,29925,1
126818,21011,1
127060,45451,1
127741,19376,1
127918,21618,1
128106,13079,1
128391,17711,1
128498,30732,1
128771,17528,1
128902,45700,1
129020,25310,1
129215,21512,1
129242,49958,1
129525,31261,1
129941,34557,1
130226,40632,1
130253,47848,1
130314,29300,1
130493,19827,1
130590,36071,1
130697,23025,1
130794,22408,1
130934,13953,1
130943,19139,1
131159,39676,1
131283,32705,1
131450,15944,1
131469,46485,1
131496,39083,1
131520,33368,1
132471,23883,1
132602,12476,1
132657,45469,1
132903,13351,1
133492,43884,1
133553,42976,1
133650,13819,1
133669,10225,1
133711,32395,1
133881,37361,1
133951,11178,1
